City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Pahrump,US,77.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
654,Soe,ID,77.61,scattered clouds,-9.8607,124.284,Dena Hotel
657,Bengkulu,ID,78.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
658,Mwense,ZM,67.14,overcast clouds,-10.3845,28.698,Mwense Council Guest House
659,Palmas,BR,75.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
661,Kaseda,JP,62.53,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
662,Santa Cruz,BO,74.66,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
664,Matara,LK,79.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
665,Riberalta,BO,79.12,broken clouds,-10.9833,-66.1,Hotel Colonial
668,Tomatlan,MX,79.3,clear sky,19.9333,-105.25,El Salvial
669,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
672,San Quintin,MX,61.97,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
674,Hongjiang,CN,63.43,broken clouds,27.11,109.9956,洪江大酒店
676,Surt,LY,63.39,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
679,Mananjary,MG,70.75,few clouds,-21.2167,48.3333,Vahiny Lodge
680,Nador,MA,62.85,clear sky,35.174,-2.9287,Hôtel La Giralda
681,Winnemucca,US,60.85,clear sky,40.973,-117.7357,Winners Inn Casino
682,Agadir,MA,63.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
684,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
686,Nelson Bay,AU,70.09,clear sky,-32.7167,152.15,Mantra Nelson Bay
688,Kalmunai,LK,79.9,broken clouds,7.4167,81.8167,VS Villa
690,Okato,NZ,67.17,overcast clouds,-39.2,173.8833,Stony River House
693,Erechim,BR,61.27,broken clouds,-27.6342,-52.2739,Villa Premium Hotel
695,Ulaangom,MN,61.52,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
696,Vao,NC,75.4,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
697,Buraydah,SA,75.72,clear sky,26.326,43.975,Mövenpick Qassim
704,Kindu,CD,69.13,overcast clouds,-2.95,25.95,Résidence Okanda
706,Caravelas,BR,74.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
708,Mayumba,GA,77.36,light rain,-3.432,10.6554,LIKWALE LODGE
712,Borba,BR,74.55,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
716,Dawei,MM,77.25,light rain,14.0833,98.2,Hotel Dawei
718,Ushtobe,KZ,70.99,overcast clouds,45.2514,77.9838,Filipin Squad
720,Meulaboh,ID,77.88,light rain,4.1363,96.1285,Kost Pria
